"Couleur";"Couleur precise";"Diametre";"Entretien";"Etat 2";"Fabricant Jante";"Fabricant Pneu";"Garantie constructeur";"Garantie Marchand";"Hauteur";"Indice Charge";"Indice Vitesse";"Largeur";"Longueur";"Manches";"Matiere";"Modele";"Montage";"Nombre Trous";"Position";"Reference";"Structure Jante";"Structure Pneu";"Style";"Taille";"Type";"Vehicule"
"";"";"";"";"";"";"";"";"";"";"81";"";"20";"";"";"";"";"";"";"";"";"";"";"Pull";"Taille unique";"";""
"";"";"";"";"";"";"";"";"";"";"82";"";"20''";"";"";"";"";"";"";"";"";"";"";"Pull col en V";"W24 (T 32-34)";"";""
"";"";"";"";"";"";"";"";"";"";"83";"";"200";"";"";"";"";"";"";"";"";"";"";"Pull col montant";"W25 (T 34)";"";""
"";"";"";"";"";"";"";"";"";"";"84";"";"21";"";"";"";"";"";"";"";"";"";"";"Pull col roule";"W26 (T 34-36)";"";""
"";"";"";"";"";"";"";"";"";"";"85";"";"21''";"";"";"";"";"";"";"";"";"";"";"Pull ras du cou";"W27 (T 36)";"";""
"";"";"";"";"";"";"";"";"";"";"86";"";"210";"";"";"";"";"";"";"";"";"";"";"Pyjamas courts";"W28 (T 38)";"";""
"";"";"";"";"";"";"";"";"";"";"87";"";"215";"";"";"";"";"";"";"";"";"";"";"Pyjamas longs";"W29 (T 38-40)";"";""
"";"";"";"";"";"";"";"";"";"";"88";"";"22";"";"";"";"";"";"";"";"";"";"";"Sacs a bandouliere";"W30 (T 40)";"";""
"";"";"";"";"";"";"";"";"";"";"89";"";"22''";"";"";"";"";"";"";"";"";"";"";"Sacs de sport";"W31 (T 40-42)";"";""
"";"";"";"";"";"";"";"";"";"";"90";"";"220";"";"";"";"";"";"";"";"";"";"";"Short";"W32 (T 42)";"";""
"";"";"";"";"";"";"";"";"";"";"Autre";"";"225";"";"";"";"";"";"";"";"";"";"";"Slip";"W33 (T 42-44)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"23";"";"";"";"";"";"";"";"";"";"";"Sortie de bain";"W34 (T 44)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"23''";"";"";"";"";"";"";"";"";"";"";"Sport";"W35 (T 44-46)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"230";"";"";"";"";"";"";"";"";"";"";"String";"W36 (T 46)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"24";"";"";"";"";"";"";"";"";"";"";"Survetement bas";"W37 (T 46-48)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"24''";"";"";"";"";"";"";"";"";"";"";"Survetement haut";"W38 (T 48)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"240";"";"";"";"";"";"";"";"";"";"";"Sweat-shirt avec capuche";"W39 (T 48-50)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"245";"";"";"";"";"";"";"";"";"";"";"Sweat-shirt sans capuche";"W40 (T50)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"25";"";"";"";"";"";"";"";"";"";"";"Tenue";"W41 (T 50-52)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"25''";"";"";"";"";"";"";"";"";"";"";"Treillis";"W42 (T 52)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"250";"";"";"";"";"";"";"";"";"";"";"Trench, Impermeable";"W43 (T 52-54)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"255";"";"";"";"";"";"";"";"";"";"";"Unies";"W44 (T 54)";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";"";"Veste seule";"XL";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"26''";"";"";"";"";"";"";"";"";"";"";"";"XS";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"260";"";"";"";"";"";"";"";"";"";"";"";"XXL";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"27";"";"";"";"";"";"";"";"";"";"";"";"XXXL";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"27''";"";"";"";"";"";"";"";"";"";"";"";"XXXXL";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"270";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"275";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"280";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"285";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.00";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.25";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.25''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.5''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.50";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.6''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.60";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.75";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"3.75''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"300";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"325";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"330";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"350";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"360";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"375";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.00";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.1''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.25";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.25''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.5''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.50";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.6''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"4.60";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"400";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"410";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"425";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"450";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"460";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"5''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"5.00";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"5.1''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"5.10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"5.4''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"5.40";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"500";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"510";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"6.1''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"6.10";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"6.7''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"6.70";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"610";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"9''";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"90";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"95";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"Autre";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"MH";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"MT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"MU";"";"";"";"";"";"";"";"";"";"";"";"";"";""
